event_id,duration,num_scans,scans_per_second,min_distance,max_distance,mean_distance,std_distance,max_intrusion,mean_intrusion,intrusion_std,intrusion_ratio,temporal_variation,spatial_spread,label
flower_1_20260226030829006471,2.8004608154296875,42,14.997531752129069,0.293,0.351,0.3289761904761905,0.013059033343540142,0.056999999999999995,0.021023809523809493,0.013059033343540142,0.16285714285714287,0.008215988562576918,4,bee
flower_1_20260226030835472558,2.0665810108184814,31,15.000621721440414,0.281,0.359,0.3299435483870968,0.018493374959370815,0.06899999999999995,0.0200564516129032,0.018493374959370815,0.197142857142857,0.012350558300035695,4,bee
flower_1_20260226030856739460,1.3998289108276367,21,15.00183332231932,0.306,0.355,0.33216666666666667,0.014704997374741841,0.043999999999999984,0.017833333333333312,0.014704997374741841,0.12571428571428567,0.012484573814645537,4,bee
flower_1_20260226030904072891,2.9334189891815186,44,14.99956199992994,0.296,0.354,0.3261875,0.01501291111010786,0.05399999999999999,0.023812499999999976,0.01501291111010786,0.15428571428571428,0.011290189840206716,4,bee
flower_1_20260226030911139355,1.2671608924865723,19,14.994149608512588,0.296,0.352,0.328,0.013272528018429647,0.05399999999999999,0.02199999999999997,0.013272528018429647,0.15428571428571428,0.008315397364728475,4,bee
flower_1_20260226030921206398,2.067115068435669,31,14.996746177008847,0.289,0.35,0.3256290322580645,0.014899373993471172,0.061,0.024370967741935454,0.014899373993471172,0.1742857142857143,0.012401255139390456,4,bee
flower_1_20260226030926938793,2.1325430870056152,32,15.005558478507655,0.286,0.356,0.3289375,0.014838633339026838,0.064,0.021062499999999974,0.014838633339026838,0.18285714285714288,0.010408200860921653,4,bee
flower_1_20260226030932338579,2.9332783222198486,44,15.000281312105987,0.297,0.355,0.3291931818181818,0.01542121577904596,0.05299999999999999,0.020806818181818156,0.01542121577904596,0.1514285714285714,0.009133356899040079,4,bee
flower_1_20260226030943272331,1.7339861392974854,26,14.994352844443009,0.303,0.357,0.3273173076923077,0.014747232370313347,0.046999999999999986,0.022682692307692286,0.014747232370313347,0.13428571428571426,0.0127911214700486,4,bee
flower_1_20260226030948538541,2.399624824523926,36,15.002345213336518,0.286,0.357,0.31779861111111113,0.019808728690232306,0.064,0.03220138888888887,0.019808728690232306,0.18285714285714288,0.016262338112123232,4,bee
flower_1_20260226031029672390,1.466745138168335,22,14.999197493487864,0.304,0.355,0.3321477272727273,0.013578668000227306,0.045999999999999985,0.0178522727272727,0.013578668000227306,0.1314285714285714,0.009401956195549425,4,bee
flower_1_20260226031036872468,1.933948278427124,29,14.995230391365812,0.295,0.359,0.3251551724137931,0.017942712435282247,0.05499999999999999,0.024844827586206878,0.017942712435282247,0.15714285714285714,0.016540860363849105,4,bee
flower_1_20260226031047738395,1.7997691631317139,27,15.001923887293561,0.3,0.361,0.3257962962962963,0.018264289890926478,0.04999999999999999,0.024203703703703686,0.018264289890926478,0.14285714285714282,0.017322456112081375,4,bee
flower_1_20260226031052605493,2.1337690353393555,32,14.996937095823357,0.287,0.355,0.323796875,0.017634236285421573,0.063,0.026203124999999976,0.017634236285421573,0.18000000000000002,0.013519316750606358,4,bee
flower_1_20260226031102872298,0.9338128566741943,14,14.99229733231717,0.309,0.357,0.3379285714285714,0.014114927163509152,0.04099999999999998,0.012071428571428554,0.014114927163509152,0.11714285714285709,0.009365663849437432,4,bee
flower_1_20260226031218137207,0.66668701171875,10,14.999542250297537,0.312,0.338,0.3262,0.006309130542723639,0.03799999999999998,0.023799999999999967,0.006309130542723639,0.10857142857142851,0.0031967865809973068,4,bee
flower_1_20260226031225604001,1.3333618640899658,20,14.999679035855896,0.308,0.358,0.3285125,0.012880162108815516,0.04199999999999998,0.021487499999999975,0.012880162108815516,0.11999999999999995,0.011067815776052262,4,bee
flower_1_20260226031232204537,1.8672161102294922,28,14.995586127713214,0.307,0.352,0.32826785714285717,0.012606291967450105,0.04299999999999998,0.021732142857142832,0.012606291967450105,0.12285714285714282,0.010881288852426766,4,bee
flower_1_20260226031241137295,1.1338551044464111,17,14.993097383726125,0.299,0.356,0.3377205882352941,0.014362934872660153,0.05099999999999999,0.012279411764705865,0.014362934872660153,0.14571428571428569,0.011800384776877093,4,bee
flower_1_20260226031248270450,1.8652150630950928,28,15.01167374958761,0.3,0.355,0.33324107142857146,0.013759350979687932,0.04999999999999999,0.016758928571428546,0.013759350979687932,0.14285714285714282,0.009023755208824258,4,bee
flower_1_20260226031308136341,2.3329532146453857,35,15.00244401828696,0.297,0.354,0.3264285714285714,0.016130824354241142,0.05299999999999999,0.02357142857142855,0.016130824354241142,0.1514285714285714,0.014263869853348956,4,bee
flower_1_20260226031320603741,1.3999910354614258,21,15.000096049242607,0.302,0.359,0.3382857142857143,0.015974808050638133,0.04799999999999999,0.011714285714285701,0.015974808050638133,0.13714285714285712,0.007576396618068883,4,bee
flower_1_20260226031331404075,1.933980941772461,29,14.99497713427413,0.295,0.357,0.33204310344827587,0.014341422063609893,0.05499999999999999,0.01795689655172411,0.014341422063609893,0.15714285714285714,0.010444168948491334,4,bee
